epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4371.04,0.98736,0.51373,1.04067,0.88755,0.83409,0.91834,0.71726,1.08628,0.60804,1.10974,0.00020909,0.00020909,0.00020909
84,4422.1,0.97703,0.50828,1.03447,0.8745,0.849,0.91673,0.71631,1.08759,0.60845,1.11014,0.000198091,0.000198091,0.000198091
85,4473.8,0.98107,0.50542,1.03616,0.86529,0.87084,0.91817,0.72101,1.08836,0.61292,1.10992,0.000187092,0.000187092,0.000187092
86,4525.56,0.96541,0.50226,1.02757,0.86483,0.87032,0.91677,0.72074,1.08908,0.61865,1.10843,0.000176094,0.000176094,0.000176094
87,4577.44,0.97304,0.50009,1.03018,0.84553,0.88015,0.91725,0.72336,1.08873,0.6159,1.10657,0.000165095,0.000165095,0.000165095
88,4629.36,0.97193,0.50191,1.02894,0.8661,0.86907,0.91629,0.72063,1.08668,0.61759,1.10403,0.000154096,0.000154096,0.000154096
89,4680.48,0.9678,0.50469,1.03087,0.86332,0.86415,0.91527,0.7179,1.08797,0.62016,1.1091,0.000143097,0.000143097,0.000143097
90,4732.13,0.97132,0.50464,1.03508,0.87762,0.8594,0.91666,0.72093,1.08777,0.61634,1.11038,0.000132098,0.000132098,0.000132098
91,4801.91,0.95835,0.45414,1.02598,0.86534,0.86021,0.91535,0.72067,1.08822,0.61138,1.10911,0.000121099,0.000121099,0.000121099
92,4849.55,0.9536,0.44652,1.02562,0.85914,0.87275,0.91925,0.72576,1.08734,0.61245,1.10971,0.0001101,0.0001101,0.0001101
93,4897.22,0.94738,0.44644,1.01872,0.86288,0.87333,0.91679,0.72248,1.08805,0.61263,1.11021,9.91012e-05,9.91012e-05,9.91012e-05
94,4944.84,0.9467,0.44445,1.02281,0.87129,0.86952,0.91487,0.71974,1.08817,0.61614,1.11081,8.81023e-05,8.81023e-05,8.81023e-05
95,4992.29,0.94321,0.44268,1.02257,0.88181,0.85323,0.91401,0.71999,1.08693,0.61472,1.11149,7.71034e-05,7.71034e-05,7.71034e-05
96,5039.93,0.93785,0.44021,1.01942,0.87917,0.86111,0.91611,0.72089,1.08626,0.61278,1.11043,6.61045e-05,6.61045e-05,6.61045e-05
97,5087.56,0.94028,0.43876,1.01965,0.88403,0.85317,0.91725,0.72403,1.08572,0.61316,1.10989,5.51056e-05,5.51056e-05,5.51056e-05
98,5135.09,0.93352,0.43751,1.01752,0.88382,0.84886,0.91561,0.7231,1.08638,0.61603,1.11113,4.41067e-05,4.41067e-05,4.41067e-05
99,5182.96,0.92903,0.43485,1.01403,0.87652,0.84876,0.91445,0.72128,1.08718,0.6184,1.11076,3.31078e-05,3.31078e-05,3.31078e-05
100,5231.85,0.92857,0.43354,1.01373,0.87705,0.8476,0.91468,0.721,1.08708,0.61818,1.11049,2.21089e-05,2.21089e-05,2.21089e-05
